id_pergunta,dataset,modelo_avaliado,pergunta,gabarito,resposta_da_ia,modelo_juiz,nota_do_juiz,justificativa_do_juiz
35,USMLE (Múltipla Escolha),Gemini-3.0-flash,"Question 48.1 (MC-NJ) - Step 3 A 2-stage screening program for ovarian cancer is being designed. Which
of the following sets of sensitivity and specificity is
most likely preferred for Stage 1 and Stage 2 of the program?
(A) Stage 1: High Sensitivity, Low Specificity; Stage 2: High Sensitivity, Low
Specificity
(B) Stage 1: High Sensitivity, Low Specificity; Stage 2: Low Sensitivity, High
Specificity
(C) Stage 1: Low Sensitivity, High Specificity; Stage 2: High Sensitivity, Low
Specificity
(D) Stage 1: Low Sensitivity, High Specificity; Stage 2: Low Sensitivity, Low
Specificity",B,B,Llama-3.3-70B-Groq,5,"A resposta correta para o programa de rastreamento de câncer de ovário em duas etapas é a opção B, que apresenta alta sensibilidade e baixa especificidade na etapa 1, e baixa sensibilidade e alta especificidade na etapa 2. Isso ocorre porque, na primeira etapa, o objetivo é capturar o máximo de casos possíveis, minimizando os falsos negativos, o que é alcançado com alta sensibilidade, mesmo que à custa de uma especificidade mais baixa, resultando em mais falsos positivos. Já na segunda etapa, o objetivo é confirmar os diagnósticos, minimizando os falsos positivos, o que é alcançado com alta especificidade, mesmo que à custa de uma sensibilidade mais baixa. Essa abordagem é coerente com os princípios de rastreamento de doenças e permite uma triagem eficaz dos casos suspeitos. Portanto, a resposta do sistema de IA está alinhada com o padrão-ouro."
35,USMLE (Múltipla Escolha),Gpt-5.4-mini,"Question 48.1 (MC-NJ) - Step 3 A 2-stage screening program for ovarian cancer is being designed. Which
of the following sets of sensitivity and specificity is
most likely preferred for Stage 1 and Stage 2 of the program?
(A) Stage 1: High Sensitivity, Low Specificity; Stage 2: High Sensitivity, Low
Specificity
(B) Stage 1: High Sensitivity, Low Specificity; Stage 2: Low Sensitivity, High
Specificity
(C) Stage 1: Low Sensitivity, High Specificity; Stage 2: High Sensitivity, Low
Specificity
(D) Stage 1: Low Sensitivity, High Specificity; Stage 2: Low Sensitivity, Low
Specificity",B,B,Llama-3.3-70B-Groq,5,"A escolha da opção B como a resposta correta para o programa de rastreamento de câncer de ovário em duas etapas é baseada na lógica de que, na primeira etapa (Stage 1), é desejável ter um teste com alta sensibilidade e baixa especificidade. Isso porque o objetivo é capturar a maioria dos casos potenciais de câncer de ovário, mesmo que isso signifique incluir muitos falsos positivos. Na segunda etapa (Stage 2), é preferível um teste com baixa sensibilidade e alta especificidade. Essa abordagem pode parecer contraintuitiva, mas o objetivo aqui é confirmar os diagnósticos, minimizando falsos positivos e garantindo que aqueles que realmente têm a doença sejam identificados com precisão. No entanto, a lógica mais apropriada para a segunda etapa seria, na verdade, ter um teste com alta especificidade para confirmar os casos, mas a sensibilidade também deve ser considerada para não perder casos verdadeiros. A opção B, portanto, apresenta uma abordagem que prioriza a captura de casos na primeira etapa e a confirmação precisa na segunda etapa, o que é alinhado com os princípios de programas de rastreamento."
35,USMLE (Múltipla Escolha),Grok-4,"Question 48.1 (MC-NJ) - Step 3 A 2-stage screening program for ovarian cancer is being designed. Which
of the following sets of sensitivity and specificity is
most likely preferred for Stage 1 and Stage 2 of the program?
(A) Stage 1: High Sensitivity, Low Specificity; Stage 2: High Sensitivity, Low
Specificity
(B) Stage 1: High Sensitivity, Low Specificity; Stage 2: Low Sensitivity, High
Specificity
(C) Stage 1: Low Sensitivity, High Specificity; Stage 2: High Sensitivity, Low
Specificity
(D) Stage 1: Low Sensitivity, High Specificity; Stage 2: Low Sensitivity, Low
Specificity",B,B,Llama-3.3-70B-Groq,5,"A escolha da opção B como a resposta correta para o programa de rastreamento de câncer de ovário em duas etapas é baseada na lógica de que, na primeira etapa (Stage 1), é desejável ter um teste com alta sensibilidade e baixa especificidade. Isso porque o objetivo é capturar a maioria dos casos potenciais de câncer de ovário, minimizando os falsos negativos, mesmo que isso signifique incluir alguns falsos positivos. Na segunda etapa (Stage 2), é preferível um teste com baixa sensibilidade e alta especificidade. Essa abordagem pode parecer contraintuitiva, mas o objetivo aqui é confirmar a presença da doença com alta precisão entre aqueles que já testaram positivo na primeira etapa, minimizando os falsos positivos e garantindo que apenas os casos verdadeiramente positivos sejam encaminhados para intervenções mais invasivas ou tratamento. Portanto, a opção B é a mais apropriada porque maximiza a detecção de casos na primeira etapa e, em seguida, confirma com precisão na segunda etapa, alinhando-se com os princípios de programas de rastreamento eficazes."
36,USMLE (Múltipla Escolha),Gemini-3.0-flash,"Question 49.1 (MC-NJ) - Step 3 A 35-year-old woman comes to the office for follow-up of chronic pelvic pain. The patient has had deep pelvic pain since undergoing total abdominal hysterectomy and radiation therapy for treatment of cervical cancer 5 years ago. She reports constant, severe aching pain; she rates the pain at its maximum as a 10 on a 10?point scale. The pain worsens during intercourse. All subsequent cancer follow-up has been negative. Medical history otherwise is unremarkable. The patient has taken oxycodone for her pain for 3 years, but she now reports that the oxycodone only partially relieves her pain. She requests either an increased dose of oxycodone or a change in her prescription to controlled-release morphine, which was recently given to her by a friend. She has smoked one pack of cigarettes daily for the past 15 years. She does not drink alcoholic beverages. BMI is 18 kg/m². She appears lethargic. She is oriented to person, place, and time but speaks slowly with slurred speech. Vital sIgns are normal. Examination of the skin shows no abnormalities. Pupils are pinpoint and react sluggishly. Which of the following is the most appropriate next step in management?
(A) Inform the patient that she must find a new physician
(B) Maintain the dose of oxycodone and add naproxen
(C) Order a urine toxicology screening
(D) Report the patient's unauthorized drug use to the police
(E) Switch oxycodone to sustained-release morphine",C,C,Llama-3.3-70B-Groq,5,"A resposta fornecida pelo sistema de IA é a ordem de uma triagem toxicológica urinária, que é a conduta mais apropriada diante dos sintomas apresentados pela paciente, como fala arrastada, pupilas mióticas e reação lenta, que sugerem uso inadequado de opioides. Além disso, a paciente relata ter recebido morfina de um amigo, o que pode indicar busca de medicamentos por vias não legítimas. A realização de uma triagem toxicológica urinária é fundamental para avaliar o perfil de uso de substâncias da paciente e orientar o tratamento subsequente. Essa abordagem está alinhada com as diretrizes clínicas para o manejo de dor crônica e uso de opioides, que enfatizam a importância da avaliação cuidadosa do paciente e do monitoramento do uso de medicamentos controlados."
36,USMLE (Múltipla Escolha),Gpt-5.4-mini,"Question 49.1 (MC-NJ) - Step 3 A 35-year-old woman comes to the office for follow-up of chronic pelvic pain. The patient has had deep pelvic pain since undergoing total abdominal hysterectomy and radiation therapy for treatment of cervical cancer 5 years ago. She reports constant, severe aching pain; she rates the pain at its maximum as a 10 on a 10?point scale. The pain worsens during intercourse. All subsequent cancer follow-up has been negative. Medical history otherwise is unremarkable. The patient has taken oxycodone for her pain for 3 years, but she now reports that the oxycodone only partially relieves her pain. She requests either an increased dose of oxycodone or a change in her prescription to controlled-release morphine, which was recently given to her by a friend. She has smoked one pack of cigarettes daily for the past 15 years. She does not drink alcoholic beverages. BMI is 18 kg/m². She appears lethargic. She is oriented to person, place, and time but speaks slowly with slurred speech. Vital sIgns are normal. Examination of the skin shows no abnormalities. Pupils are pinpoint and react sluggishly. Which of the following is the most appropriate next step in management?
(A) Inform the patient that she must find a new physician
(B) Maintain the dose of oxycodone and add naproxen
(C) Order a urine toxicology screening
(D) Report the patient's unauthorized drug use to the police
(E) Switch oxycodone to sustained-release morphine",C,C,Llama-3.3-70B-Groq,5,"A resposta fornecida pelo sistema de IA é a ordem de uma triagem toxicológica urinária, que é a conduta mais apropriada diante dos sintomas apresentados pela paciente, como fala lenta, voz pastosa e pupilas mióticas, que sugerem uso inadequado de opioides. Além disso, a paciente relata ter recebido morfina de um amigo, o que pode indicar busca de medicamentos por vias não legítimas. A realização de uma triagem toxicológica urinária é fundamental para avaliar o perfil de uso de substâncias da paciente e direcionar o tratamento de forma segura e eficaz. Portanto, a resposta do sistema de IA está alinhada com as diretrizes clínicas atuais e demonstra uma compreensão adequada do manejo de pacientes com dor crônica e uso de opioides."
36,USMLE (Múltipla Escolha),Grok-4,"Question 49.1 (MC-NJ) - Step 3 A 35-year-old woman comes to the office for follow-up of chronic pelvic pain. The patient has had deep pelvic pain since undergoing total abdominal hysterectomy and radiation therapy for treatment of cervical cancer 5 years ago. She reports constant, severe aching pain; she rates the pain at its maximum as a 10 on a 10?point scale. The pain worsens during intercourse. All subsequent cancer follow-up has been negative. Medical history otherwise is unremarkable. The patient has taken oxycodone for her pain for 3 years, but she now reports that the oxycodone only partially relieves her pain. She requests either an increased dose of oxycodone or a change in her prescription to controlled-release morphine, which was recently given to her by a friend. She has smoked one pack of cigarettes daily for the past 15 years. She does not drink alcoholic beverages. BMI is 18 kg/m². She appears lethargic. She is oriented to person, place, and time but speaks slowly with slurred speech. Vital sIgns are normal. Examination of the skin shows no abnormalities. Pupils are pinpoint and react sluggishly. Which of the following is the most appropriate next step in management?
(A) Inform the patient that she must find a new physician
(B) Maintain the dose of oxycodone and add naproxen
(C) Order a urine toxicology screening
(D) Report the patient's unauthorized drug use to the police
(E) Switch oxycodone to sustained-release morphine",C,C,Llama-3.3-70B-Groq,5,"A resposta fornecida pelo sistema de IA é a ordem de uma triagem toxicológica urinária, que é a conduta mais apropriada diante dos sintomas apresentados pela paciente, como fala lenta, voz pastosa e pupilas mióticas, que sugerem uso inadequado de opioides. Além disso, a paciente relata ter recebido morfina de um amigo, o que pode indicar busca de medicamentos por meios não apropriados. A realização de uma triagem toxicológica urinária é fundamental para avaliar o perfil de uso de substâncias da paciente e orientar o tratamento subsequente. Essa abordagem está alinhada com as diretrizes clínicas para o manejo de dor crônica e uso de opioides, que enfatizam a importância da avaliação cuidadosa do paciente e do monitoramento do uso de medicamentos controlados."
37,USMLE (Múltipla Escolha),Gemini-3.0-flash,"Question 50.1 (MC-NJ) - Step 3 A 35-year-old woman comes to the office for follow-up of chronic pelvic
pain. The patient has had deep pelvic pain since
undergoing total abdominal hysterectomy and radiation therapy for
treatment of cervical cancer 5 years ago. She reports constant,
severe aching pain; she rates the pain at its maximum as a 10 on a 10?point
scale. The pain worsens during intercourse. All
subsequent cancer follow-up has been negative. Medical history otherwise
is unremarkable. The patient has taken oxycodone for
her pain for 3 years, but she now reports that the oxycodone only partially
relieves her pain. She requests either an increased dose of
oxycodone or a change in her prescription to controlled-release morphine,
which was recently given to her by a friend. She has
smoked one pack of cigarettes daily for the past 15 years. She does not
drink alcoholic beverages. BMI is 18 kg/m2. She appears
lethargic. She is oriented to person, place, and time but speaks slowly with
slurred speech. Vital signs are normal. Examination of
the skin shows no abnormalities. Pupils are pinpoint and react sluggishly.
Urine toxicology screening is positive for diazepam, methadone, and
oxycodone. The patient returns to the office 1 week later
to discuss these results. Which of the following is the most appropriate
opening remark?
(A) ""I am concerned that you are abusing pain medicine. I would like for you
to consider a substance use disorder
treatment program.""
(B) ""I cannot be your physician any longer because of your drug use
disorder. I'm going to give you 30 days to find a new
physician.""
(C) ""I would like to know where you have been getting the methadone and
diazepam that you are taking.""
(D) ""The test showed that you take other drugs that I have not prescribed
to you. I must report this to the police.",A,C,Llama-3.3-70B-Groq,2,"A pergunta apresentada refere-se a uma paciente com dor pélvica crônica pós-histerectomia e radioterapia devido a câncer de colo uterino. Ela está tomando oxycodone há 3 anos, mas relata que o medicamento não alivia mais sua dor e solicita aumento da dose ou mudança para morfina de liberação controlada. No entanto, o exame toxicológico de urina revela a presença de diazepam, metadona e oxycodone, indicando uso de substâncias não prescritas. A resposta do AI, ""C"", questiona a paciente sobre a fonte das substâncias não prescritas, o que pode ser visto como uma abordagem investigativa, mas não necessariamente a mais apropriada para abordar o problema do uso de substâncias. A resposta correta, de acordo com o padrão ouro, é a opção ""A"", que expressa preocupação com o uso abusivo de medicamentos para dor e sugere considerar um programa de tratamento para distúrbios do uso de substâncias. Essa abordagem é mais empática e direcionada para o tratamento do problema subjacente, em vez de simplesmente questionar a fonte das substâncias ou ameaçar encerrar o atendimento médico. Portanto, a resposta do AI não é a mais apropriada, pois não prioriza a saúde e o bem-estar da paciente de forma holística."
37,USMLE (Múltipla Escolha),Gpt-5.4-mini,"Question 50.1 (MC-NJ) - Step 3 A 35-year-old woman comes to the office for follow-up of chronic pelvic
pain. The patient has had deep pelvic pain since
undergoing total abdominal hysterectomy and radiation therapy for
treatment of cervical cancer 5 years ago. She reports constant,
severe aching pain; she rates the pain at its maximum as a 10 on a 10?point
scale. The pain worsens during intercourse. All
subsequent cancer follow-up has been negative. Medical history otherwise
is unremarkable. The patient has taken oxycodone for
her pain for 3 years, but she now reports that the oxycodone only partially
relieves her pain. She requests either an increased dose of
oxycodone or a change in her prescription to controlled-release morphine,
which was recently given to her by a friend. She has
smoked one pack of cigarettes daily for the past 15 years. She does not
drink alcoholic beverages. BMI is 18 kg/m2. She appears
lethargic. She is oriented to person, place, and time but speaks slowly with
slurred speech. Vital signs are normal. Examination of
the skin shows no abnormalities. Pupils are pinpoint and react sluggishly.
Urine toxicology screening is positive for diazepam, methadone, and
oxycodone. The patient returns to the office 1 week later
to discuss these results. Which of the following is the most appropriate
opening remark?
(A) ""I am concerned that you are abusing pain medicine. I would like for you
to consider a substance use disorder
treatment program.""
(B) ""I cannot be your physician any longer because of your drug use
disorder. I'm going to give you 30 days to find a new
physician.""
(C) ""I would like to know where you have been getting the methadone and
diazepam that you are taking.""
(D) ""The test showed that you take other drugs that I have not prescribed
to you. I must report this to the police.",A,A,Llama-3.3-70B-Groq,5,"A resposta do sistema de IA é tecnicamente correta, pois aborda a questão do uso de substâncias de forma direta e preocupada, o que é essencial para estabelecer uma relação de confiança e promover a busca por ajuda. A opção A é a mais apropriada, pois expressa preocupação com o bem-estar do paciente e sugere um tratamento para o distúrbio do uso de substâncias, em vez de simplesmente descontinuar o tratamento ou ameaçar reportar o paciente às autoridades. Isso está alinhado com as diretrizes clínicas que enfatizam a importância de abordar o uso de substâncias de forma não julgadora e apoiar os pacientes na busca por tratamento. Além disso, a abordagem da opção A permite uma discussão mais aberta e honesta sobre o uso de substâncias, o que é fundamental para o manejo eficaz do tratamento da dor crônica e do distúrbio do uso de substâncias."
37,USMLE (Múltipla Escolha),Grok-4,"Question 50.1 (MC-NJ) - Step 3 A 35-year-old woman comes to the office for follow-up of chronic pelvic
pain. The patient has had deep pelvic pain since
undergoing total abdominal hysterectomy and radiation therapy for
treatment of cervical cancer 5 years ago. She reports constant,
severe aching pain; she rates the pain at its maximum as a 10 on a 10?point
scale. The pain worsens during intercourse. All
subsequent cancer follow-up has been negative. Medical history otherwise
is unremarkable. The patient has taken oxycodone for
her pain for 3 years, but she now reports that the oxycodone only partially
relieves her pain. She requests either an increased dose of
oxycodone or a change in her prescription to controlled-release morphine,
which was recently given to her by a friend. She has
smoked one pack of cigarettes daily for the past 15 years. She does not
drink alcoholic beverages. BMI is 18 kg/m2. She appears
lethargic. She is oriented to person, place, and time but speaks slowly with
slurred speech. Vital signs are normal. Examination of
the skin shows no abnormalities. Pupils are pinpoint and react sluggishly.
Urine toxicology screening is positive for diazepam, methadone, and
oxycodone. The patient returns to the office 1 week later
to discuss these results. Which of the following is the most appropriate
opening remark?
(A) ""I am concerned that you are abusing pain medicine. I would like for you
to consider a substance use disorder
treatment program.""
(B) ""I cannot be your physician any longer because of your drug use
disorder. I'm going to give you 30 days to find a new
physician.""
(C) ""I would like to know where you have been getting the methadone and
diazepam that you are taking.""
(D) ""The test showed that you take other drugs that I have not prescribed
to you. I must report this to the police.",A,C,Llama-3.3-70B-Groq,2,"A pergunta apresentada refere-se a uma paciente com dor pélvica crônica pós-histerectomia e radioterapia devido a câncer de colo uterino. Ela está tomando oxycodone há 3 anos, mas relata que o medicamento não alivia mais sua dor e solicita aumento da dose ou mudança para morfina de liberação controlada. No entanto, o exame toxicológico de urina revela a presença de diazepam, metadona e oxycodone, indicando uso de substâncias não prescritas. A resposta do sistema de IA, ""C"", questiona a origem das substâncias não prescritas, o que pode ser visto como uma abordagem inicial para entender o contexto do uso de drogas, mas não é a abordagem mais apropriada, pois não aborda diretamente a preocupação com o uso de substâncias e o potencial de dependência. A resposta correta, de acordo com o padrão ouro, é a opção A, que expressa preocupação com o uso de medicamentos para dor e sugere considerar um programa de tratamento para distúrbios do uso de substâncias, demonstrando uma abordagem mais empática e focada no tratamento do paciente. Portanto, a resposta do sistema de IA não é a mais apropriada, pois não prioriza a saúde e o bem-estar do paciente de forma abrangente."
38,USMLE (Múltipla Escolha),Gemini-3.0-flash,"Question 51.1 (MC-NJ) - Step 3 A 24-year-old woman, gravida 1, para 1, comes to the office because she and
her husband have been trying to conceive for
the past year without success. She gave birth to her first child at age 18
years by cesarean delivery following fetal distress.
She then developed postpartum endometritis that resolved with
intravenous antibiotic therapy. She used an intrauterine
device (IUD) for 1 year following her first pregnancy but had the device
removed because of intermenstrual bleeding.
Medical history is also remarkable for chlamydial cervicitis treated with
antibiotic therapy as an outpatient at age 21 years,
and recurrent bacterial vaginosis that had been treated with metronidazole
therapy during her pregnancy and on two other
occasions. Vital signs today are within normal limits. Breast and pelvic
examinations disclose no abnormalities.
Hysterosalpingography shows bilateral hydrosalpinx. Which of the
following factors in this patient's history most increased
her risk for development of her condition?
(A) Bacterial vaginosis
(B) Cesarean delivery
(C) Chlamydial cervicitis
(D) Postpartum endometritis
(E) Use of an IUD",C,D,Llama-3.3-70B-Groq,1,"A paciente apresenta histerossalpingografia com bilateral hidrosalpinx, o que sugere uma obstrução das trompas de Falópio. A história de chlamydial cervicitis tratada com antibioticoterapia é um fator de risco importante para o desenvolvimento de doença inflamatória pélvica (DIP) e subsequente obstrução das trompas de Falópio. A chlamydial cervicitis é uma causa comum de DIP, que pode levar à formação de aderências e obstrução das trompas de Falópio, resultando em infertilidade. Embora a paciente também tenha histórico de cesárea, endometrite pós-parto, vaginose bacteriana e uso de DIU, esses fatores não estão diretamente relacionados ao desenvolvimento de hidrosalpinx. Portanto, a resposta correta é a chlamydial cervicitis, que é o fator que mais aumentou o risco de desenvolver a condição. No entanto, a resposta fornecida pelo sistema de IA é a endometrite pós-parto, que não é o fator mais relevante para o desenvolvimento de hidrosalpinx."
38,USMLE (Múltipla Escolha),Gpt-5.4-mini,"Question 51.1 (MC-NJ) - Step 3 A 24-year-old woman, gravida 1, para 1, comes to the office because she and
her husband have been trying to conceive for
the past year without success. She gave birth to her first child at age 18
years by cesarean delivery following fetal distress.
She then developed postpartum endometritis that resolved with
intravenous antibiotic therapy. She used an intrauterine
device (IUD) for 1 year following her first pregnancy but had the device
removed because of intermenstrual bleeding.
Medical history is also remarkable for chlamydial cervicitis treated with
antibiotic therapy as an outpatient at age 21 years,
and recurrent bacterial vaginosis that had been treated with metronidazole
therapy during her pregnancy and on two other
occasions. Vital signs today are within normal limits. Breast and pelvic
examinations disclose no abnormalities.
Hysterosalpingography shows bilateral hydrosalpinx. Which of the
following factors in this patient's history most increased
her risk for development of her condition?
(A) Bacterial vaginosis
(B) Cesarean delivery
(C) Chlamydial cervicitis
(D) Postpartum endometritis
(E) Use of an IUD",C,C,Llama-3.3-70B-Groq,5,"A paciente apresenta histerossalpingografia com bilateral hidrosalpinx, o que sugere uma obstrução das trompas de Falópio. A história de clamídia cervicite tratada com antibioticoterapia é o fator mais relevante para o desenvolvimento de hidrosalpinx, pois a clamídia é uma causa comum de doença inflamatória pélvica (DIP) e aderências pélvicas, que podem levar à obstrução das trompas de Falópio. A cesárea, a endometrite pós-parto e o uso de um dispositivo intrauterino (DIU) não estão diretamente relacionados ao desenvolvimento de hidrosalpinx. A vaginose bacteriana é uma infecção comum, mas não está associada à obstrução das trompas de Falópio. Portanto, a resposta correta é a clamídia cervicite, que é um fator de risco conhecido para o desenvolvimento de hidrosalpinx."
38,USMLE (Múltipla Escolha),Grok-4,"Question 51.1 (MC-NJ) - Step 3 A 24-year-old woman, gravida 1, para 1, comes to the office because she and
her husband have been trying to conceive for
the past year without success. She gave birth to her first child at age 18
years by cesarean delivery following fetal distress.
She then developed postpartum endometritis that resolved with
intravenous antibiotic therapy. She used an intrauterine
device (IUD) for 1 year following her first pregnancy but had the device
removed because of intermenstrual bleeding.
Medical history is also remarkable for chlamydial cervicitis treated with
antibiotic therapy as an outpatient at age 21 years,
and recurrent bacterial vaginosis that had been treated with metronidazole
therapy during her pregnancy and on two other
occasions. Vital signs today are within normal limits. Breast and pelvic
examinations disclose no abnormalities.
Hysterosalpingography shows bilateral hydrosalpinx. Which of the
following factors in this patient's history most increased
her risk for development of her condition?
(A) Bacterial vaginosis
(B) Cesarean delivery
(C) Chlamydial cervicitis
(D) Postpartum endometritis
(E) Use of an IUD",C,B,Llama-3.3-70B-Groq,1,"A paciente apresenta bilateral hidrosalpinx, uma condição caracterizada pela dilatação das trompas de Falópio devido à obstrução. A história clínica da paciente sugere que a causa mais provável dessa condição seja a infecção por Chlamydia trachomatis, que ela contraiu aos 21 anos. A Chlamydia é uma causa comum de doença inflamatória pélvica (DIP), que pode levar à obstrução das trompas de Falópio e, consequentemente, ao desenvolvimento de hidrosalpinx. Embora a paciente também tenha histórico de cesárea, endometrite pós-parto, vaginose bacteriana e uso de DIU, esses fatores não estão diretamente relacionados ao desenvolvimento de hidrosalpinx. A cesárea (opção B) é um fator de risco para várias complicações, mas não está diretamente relacionada à obstrução das trompas de Falópio. Portanto, a resposta correta é a opção C, Chlamydial cervicitis, que é a causa mais provável do desenvolvimento de hidrosalpinx nessa paciente."
39,USMLE (Múltipla Escolha),Gemini-3.0-flash,"Question 52.1 (MC-NJ) - Step 3 Patient Information
Age: 62 years
Gender: M, self-identified
Ethnicity: white, self-identified
Site of Care: office
History
Reason for Visit/Chief Concern: ""My legs hurt when I walk, and it's getting
worse.""
History of Present Illness: 3-month history of worsening leg pain, pain
exacerbated by walking; peak intensity after 1 block, pain resolves
completely with rest, pain rated 4/10 at worst
Past Medical History: hypertension, mild angina, type 2 diabetes mellitus
Medications: lisinopril, metoprolol, furosemide, glyburide, lovastatin
Allergies: no known drug allergies
Psychosocial History: has smoked one-half pack of cigarettes daily for 44
years
Physical Examination
Temp 36.0°C (96.8°F)
Pulse 72/min
Resp 14/min
BP 140/90 mmHg
O2Sat -
Height 164 cm (5 ft 5 in)
Weight 90 kg (198 lb)
BMI 33 kg/m²
Appearance: no acute distress
HEENT: funduscopic shows grade 2/4 arteriovenous nicking
Neck: no jugular venous distention
Pulmonary: clear to auscultation; mildly diminished lung sounds
Cardiac: no bruits; distant heart sounds
Abdominal: obese; no tenderness, guarding, masses, bruits, or
hepatosplenomegaly
Extremities: no joint erythema, edema, or warmth; no hair on toes; no
femoral bruits; dorsalis pedis, radial, and femoral
pulses intact
Neurologic: sensation to vibration intact
Question: Which of the following is the most appropriate diagnostic study?
(A) Ankle brachial index
(B) Arteriography
(C) ECG
(D) Echocardiography
(E) MUGA scan",A,A,Llama-3.3-70B-Groq,5,"O paciente apresenta sintomas de claudicação intermitente, caracterizada por dor nas pernas ao caminhar que melhora com repouso. Essa condição é frequentemente associada à doença arterial periférica (DAP). O índice tornozelo-braquial (ITB) é um exame não invasivo e amplamente utilizado para diagnosticar e monitorar a DAP. Ele fornece uma medida da pressão arterial nos membros inferiores em relação aos membros superiores, ajudando a identificar a presença e a gravidade da doença arterial periférica. Considerando a história clínica do paciente, com dor nas pernas ao caminhar e fatores de risco como tabagismo de longa duração, hipertensão, diabetes mellitus tipo 2 e dislipidemia (sugestiva pelo uso de lovastatina), o ITB é o exame mais apropriado para iniciar a investigação diagnóstica. Além disso, o ITB é uma recomendação das diretrizes clínicas para o diagnóstico inicial da DAP devido à sua acessibilidade, baixo custo e não invasividade."
39,USMLE (Múltipla Escolha),Gpt-5.4-mini,"Question 52.1 (MC-NJ) - Step 3 Patient Information
Age: 62 years
Gender: M, self-identified
Ethnicity: white, self-identified
Site of Care: office
History
Reason for Visit/Chief Concern: ""My legs hurt when I walk, and it's getting
worse.""
History of Present Illness: 3-month history of worsening leg pain, pain
exacerbated by walking; peak intensity after 1 block, pain resolves
completely with rest, pain rated 4/10 at worst
Past Medical History: hypertension, mild angina, type 2 diabetes mellitus
Medications: lisinopril, metoprolol, furosemide, glyburide, lovastatin
Allergies: no known drug allergies
Psychosocial History: has smoked one-half pack of cigarettes daily for 44
years
Physical Examination
Temp 36.0°C (96.8°F)
Pulse 72/min
Resp 14/min
BP 140/90 mmHg
O2Sat -
Height 164 cm (5 ft 5 in)
Weight 90 kg (198 lb)
BMI 33 kg/m²
Appearance: no acute distress
HEENT: funduscopic shows grade 2/4 arteriovenous nicking
Neck: no jugular venous distention
Pulmonary: clear to auscultation; mildly diminished lung sounds
Cardiac: no bruits; distant heart sounds
Abdominal: obese; no tenderness, guarding, masses, bruits, or
hepatosplenomegaly
Extremities: no joint erythema, edema, or warmth; no hair on toes; no
femoral bruits; dorsalis pedis, radial, and femoral
pulses intact
Neurologic: sensation to vibration intact
Question: Which of the following is the most appropriate diagnostic study?
(A) Ankle brachial index
(B) Arteriography
(C) ECG
(D) Echocardiography
(E) MUGA scan",A,A,Llama-3.3-70B-Groq,5,"O paciente apresenta sintomas clássicos de claudicação intermitente, caracterizada por dor nas pernas ao caminhar que melhora com repouso. A história de tabagismo crônico e a presença de doenças cardiovasculares, como hipertensão e angina, aumentam a suspeita de doença arterial periférica (DAP). O índice tornozelo-braquial (ITB) é um exame não invasivo e amplamente utilizado para diagnosticar DAP, pois fornece uma medida objetiva da pressão arterial nos membros inferiores em relação aos membros superiores. É um teste simples, rápido e não invasivo, tornando-o o primeiro passo adequado na avaliação diagnóstica deste paciente. Além disso, o ITB é recomendado como o exame inicial para claudicação intermitente pela maioria das diretrizes clínicas, incluindo as da American Heart Association (AHA)."
39,USMLE (Múltipla Escolha),Grok-4,"Question 52.1 (MC-NJ) - Step 3 Patient Information
Age: 62 years
Gender: M, self-identified
Ethnicity: white, self-identified
Site of Care: office
History
Reason for Visit/Chief Concern: ""My legs hurt when I walk, and it's getting
worse.""
History of Present Illness: 3-month history of worsening leg pain, pain
exacerbated by walking; peak intensity after 1 block, pain resolves
completely with rest, pain rated 4/10 at worst
Past Medical History: hypertension, mild angina, type 2 diabetes mellitus
Medications: lisinopril, metoprolol, furosemide, glyburide, lovastatin
Allergies: no known drug allergies
Psychosocial History: has smoked one-half pack of cigarettes daily for 44
years
Physical Examination
Temp 36.0°C (96.8°F)
Pulse 72/min
Resp 14/min
BP 140/90 mmHg
O2Sat -
Height 164 cm (5 ft 5 in)
Weight 90 kg (198 lb)
BMI 33 kg/m²
Appearance: no acute distress
HEENT: funduscopic shows grade 2/4 arteriovenous nicking
Neck: no jugular venous distention
Pulmonary: clear to auscultation; mildly diminished lung sounds
Cardiac: no bruits; distant heart sounds
Abdominal: obese; no tenderness, guarding, masses, bruits, or
hepatosplenomegaly
Extremities: no joint erythema, edema, or warmth; no hair on toes; no
femoral bruits; dorsalis pedis, radial, and femoral
pulses intact
Neurologic: sensation to vibration intact
Question: Which of the following is the most appropriate diagnostic study?
(A) Ankle brachial index
(B) Arteriography
(C) ECG
(D) Echocardiography
(E) MUGA scan",A,A,Llama-3.3-70B-Groq,5,"O paciente apresenta sintomas clássicos de claudicação intermitente, caracterizada por dor nas pernas ao caminhar que melhora com repouso. A história de tabagismo crônico e a presença de doenças cardiovasculares, como hipertensão e angina, aumentam a suspeita de doença arterial periférica (DAP). O índice tornozelo-braquial (ITB) é um exame não invasivo e amplamente utilizado para diagnosticar DAP, pois fornece uma medida objetiva da pressão arterial nos membros inferiores em relação aos membros superiores. É um teste simples, rápido e não invasivo, tornando-o o primeiro passo adequado na avaliação diagnóstica deste paciente. Além disso, o ITB é recomendado como o exame inicial para diagnóstico de DAP pelas diretrizes clínicas da American Heart Association (AHA) e da Sociedade Brasileira de Cardiologia (SBC)."
